"PERIODO","UNIDAD_CLIENTE","SEGMENTO","COD_PRODUCTO","COD_PRODUCTO_PROVEEDOR","DESCRIPCION","MARCA","ESTADO_PROD.","UMB","COD_LOCAL","TIPO","DESCRIPCION_LOCAL","ESTADO_LOCAL","FORMATO","TIPO_VENTA","VTA_PERIODO(u)","VTA_COSTO($)"
2020-12-01 al 2020-12-22,Construmart,LOCAL,168122,SIN CODIGO,PLACA 2 MÓDULOS PERLA,SIN MARCA,ACTIVO,C/U,CM29,LOCAL,CM29-PUERTO MONTT,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,613.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,111435,SIN CODIGO,ALARGADOR 6 TOMAS 2P+T 10A 3M GRIS,SIN MARCA,ACTIVO,C/U,CM28,LOCAL,CM28-OSORNO,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,35348.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,45814,SIN CODIGO,TOMA 2P+T 10A 250V ARMADA BLCO,SIN MARCA,ACTIVO,C/U,CM89,LOCAL,CM89 - Departamental,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,1535.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,173172,SIN CODIGO,TOMA DOBLE 2P+T 10A + 2P+T 16A ARMADO,SIN MARCA,ACTIVO,C/U,CM80,LOCAL,CM80 - Chillan Collín,ACTIVO,NO CLASIFICADO,NO CALZADA,12.00,29272.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,150080,SIN CODIGO,INTERRUPTOR 9/15 MODUS ARM.BCO. 1200BN,SIN MARCA,ACTIVO,C/U,CM82,LOCAL,CM82 - Camino a Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,31.00,53754.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,18170,SIN CODIGO,CLAVIJA 2P+T 10A GRIS,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,1760.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,202478,SIN CODIGO,INTERRUPTOR ESCALERA 9/24 10A LÚZICA ARM,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,12.00,12147.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,12537,SIN CODIGO,PLACA ALUM.OXIDAL 2PTO. 503/2P MAGIC,SIN MARCA,ACTIVO,C/U,CM89,LOCAL,CM89 - Departamental,ACTIVO,NO CLASIFICADO,NO CALZADA,8.00,10997.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,187046,SIN CODIGO,CAJA CHUQUI LIBRE DE HALOGENOS,SIN MARCA,ACTIVO,C/U,CM87,LOCAL,CM87 - Los Alamos Colina,ACTIVO,NO CLASIFICADO,NO CALZADA,21.00,13944.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,186722,SIN CODIGO,INT.TERMOMAGNÉTICO UNIP. 20A - 6KA,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,12149.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,69607,SIN CODIGO,PORTALAM.C/ BNE.TORNILL C/BLQ. BLANCO,SIN MARCA,ACTIVO,C/U,CM07,LOCAL,CM07-LA SERENA,ACTIVO,NO CLASIFICADO,NO CALZADA,33.00,25344.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,202492,SIN CODIGO,ENCHUFE SIMPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM87,LOCAL,CM87 - Los Alamos Colina,ACTIVO,NO CLASIFICADO,NO CALZADA,5.00,4653.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,18160,SIN CODIGO,CASQUETE+INT.9/12 MODUS CAL1100BN,SIN MARCA,ACTIVO,C/U,CM90,LOCAL,CM90 - Peñaflor,ACTIVO,NO CLASIFICADO,NO CALZADA,5.00,4942.00
2020-12-01 al 2020-12-22,Construmart,CLUB AHORRO,187038,SIN CODIGO,INT.TERMOMAGNÉTICO UNIP. 16A-6KA BTIDIN,SIN MARCA,ACTIVO,C/U,CM26,LOCAL,CM26-TEMUCO,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1736.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,150080,SIN CODIGO,INTERRUPTOR 9/15 MODUS ARM.BCO. 1200BN,SIN MARCA,ACTIVO,C/U,CM72,LOCAL,CM72 LloLleo,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,3369.00
2020-12-01 al 2020-12-22,Construmart,CONST.MEDIANA DESARROLLO,17654,SIN CODIGO,INT DIFERENCIAL BIP 30 MA 25A,SIN MARCA,ACTIVO,C/U,CM09,LOCAL,CM09 - OVALLE,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,12077.00
2020-12-01 al 2020-12-22,Construmart,CONST.MEDIANA DESARROLLO,26654,SIN CODIGO,SOPORTE TICINO MAGIC PLASTICO 503/RP,SIN MARCA,ACTIVO,C/U,CM92,LOCAL,CM92-LOS ANGELES ALCAZAR,ACTIVO,NO CLASIFICADO,NO CALZADA,8.00,3776.00
2020-12-01 al 2020-12-22,Construmart,CIRCULO FERRETERO,45812,SIN CODIGO,INTERRUPTOR 9/12 10A 250V ARMADO BLCO,SIN MARCA,ACTIVO,C/U,CM05,LOCAL,CM05-ANTOFAGASTA,ACTIVO,NO CLASIFICADO,NO CALZADA,4.00,4460.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,14060,SIN CODIGO,ENCHUFE HBRA. 2P+T10A EMB 5113K MAG/ARM,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,19.00,54568.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM68,LOCAL,CM68-Errazuriz,ACTIVO,NO CLASIFICADO,NO CALZADA,20.00,32760.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,150080,SIN CODIGO,INTERRUPTOR 9/15 MODUS ARM.BCO. 1200BN,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,8.00,13190.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM07,LOCAL,CM07-LA SERENA,ACTIVO,NO CLASIFICADO,NO CALZADA,80.00,131132.00
